docnumber,label,labels_coll
doc2 label50,age last alcohol,"age YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117 
10   MEN  last alcohol "
doc2 label51,"Tumor Site 1=Oral cavity,  2=oropharynx, 3= larynx 4 = hypopharynx ","Tumor  BRAIN 596 
2   CELLS 296 
3   GROWTH 156 
4   SIZE 100 
5   CELL 74 
6   PATIENT 66 
7   CANCER 65 
8   TUMOR 58 
9   SURGERY 52 
10   stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 51 
11   site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE1 Oral cavity  2 oropharynx 3 larynx 4  hypopharynx  1 2 3 4"
doc2 label52,T stage,"T stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 1 2 3 4 4A"
doc2 label53,"N stage 0=1, 1=2, 2=3, 2A=4, 2B=5, 2C=6, 3=7, 3B=8 ","N stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 01 1 2 2 3 2 A4 2B 5 2C 6 3 7 3B 8  0 1 2 2A 2B 2C 3 3B"
doc2 label54,M stage,"M stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 0"
doc2 label55, Date Last FU," date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT Last FU "
doc2 label56,"Disease status at Last FU 1=NED,2=AWD,3= DOD, 4= DUC ","disease  HEART	5931	 2		 CONTROL	2833	 3		 CENTERS	2442	 4		 PREVENTION	2069	 5		 RISK	1806	 6		 CANCER	1178	 7		 PEOPLE	801	 8		 PATIENTS	781	 9		 DIABETES	756	 10		 DISEASE status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT at Last FU 1 NED 2 AWD 3 DOD 4 DUC  1 2 3 4"
doc2 label57," Follow Up Status 1= On FU, 0= LFU"," Follow Up status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT 1 On FU 0 LFU 0 1"
doc2 label58, Date od Death," date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT of death  PENALTY	5495	 2		 LIFE	3639	 3		 ROW	1864	 4		 CAUSE	1668	 5		 YEARS	1423	 6		 FATHER	1234	 7		 TIME	1206	 8		 TOLL	1198	 9		 SENTENCE	1109	 10		 DEATH  PENALTY 5495 
2   LIFE 3639 
3   ROW 1864 
4   CAUSE 1668 
5   YEARS 1423 
6   FATHER 1234 
7   TIME 1206 
8   TOLL 1198 
9   SENTENCE 1109 
10   death  PENALTY	5495	 2		 LIFE	3639	 3		 ROW	1864	 4		 CAUSE	1668	 5		 YEARS	1423	 6		 FATHER	1234	 7		 TIME	1206	 8		 TOLL	1198	 9		 SENTENCE	1109	 10		 DEATH"
doc2 label59,PCR. HPV16 status 0 = HPV16-  1 = HPV16+ ,"PCR. Human Papillomavirus 16 status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT 0  HPV16 -  1  HPV16 +  0 1"
doc2 label60,p16 0 = p16- 1 = p16+,p16 0  p16 - 1  p16 + 0 1
doc2 label61,HPV16 ISH 0 = HPV16-  1 = HPV16+,Human papillomavirus 16 ISH 0  Human papillomavirus 16 -  1  Human papillomavirus 16 + 0 1
doc2 label62,!!!!!!!!!!!!! HPV status clin/PCR combined 0 = HPV16-  1 = HPV16+,"!!!!!!!!!!!!! Human papillomavirus  status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT clin/PCR combined 0  HPV16 -  1  HPV16 + 0 1"
doc2 label63,"Prior Surgery Before enroll in the study yes=1, no=0","Prior surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK Before enrollment in the study  RESULTS	3615	 2		 PURPOSE	2456	 3		 STUDENTS	2387	 4		 PARTICIPANTS	2290	 5		 CASE	2192	 6		 FINDINGS	2050	 7		 DATA	1849	 8		 STUDY	1778	 9		 RESEARCH	1771	 10		 UNIVERSITY yes 1 no 0 0 1"
doc2 label64,"Prior Radiation before enroll in the study yes=1, no=0","Prior Radiation before enrollment in the study  RESULTS	3615	 2		 PURPOSE	2456	 3		 STUDENTS	2387	 4		 PARTICIPANTS	2290	 5		 CASE	2192	 6		 FINDINGS	2050	 7		 DATA	1849	 8		 STUDY	1778	 9		 RESEARCH	1771	 10		 UNIVERSITY yes 1 no 0 0 1"
doc2 label65,"Prior Chemotherapy before enroll in the study yes=1, no=0","Prior chemotherapy  RADIATION	355	 2		 CANCER	164	 3		 SURGERY	134	 4		 TREATMENT	120	 5		 PATIENTS	99	 6		 TREATMENTS	92	 7		 DRUGS	79	 8		 MONTHS	71	 9		 EFFECTS	65	 10		 THERAPY RADIATION 355 
2   CANCER 164 
3   SURGERY 134 
4   TREATMENT 120 
5   PATIENTS 99 
6   TREATMENTS 92 
7   DRUGS 79 
8   MONTHS 71 
9   EFFECTS 65 
10   THERAPY  before enrollment  in the study  RESULTS	3615	 2		 PURPOSE	2456	 3		 STUDENTS	2387	 4		 PARTICIPANTS	2290	 5		 CASE	2192	 6		 FINDINGS	2050	 7		 DATA	1849	 8		 STUDY	1778	 9		 RESEARCH	1771	 10		 UNIVERSITY yes 1 no 0 0 1"
doc2 label66,"Primary Surgical Therapy yes=1, no=0","Primary Surgical PROCEDURES 291 
2   PROCEDURE 288 
3   TREATMENT 187 
4   INTERVENTION 134 
5   PATIENTS 132 
6   EXCISION 128 
7   GLOVES 111 
8   INSTRUMENTS 104 
9   REMOVAL 102 
10   TECHNIQUES therapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION yes1 no 0 0 1"
doc2 label67,"Primary radiation Therapy yes=1, no=0","Primary radiation   therapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION 572 
2   CHEMOtherapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION 355 
3   EXPOSURE 287 
4   LEVELS 279 
5   BACKGROUND 250 
6   SURGERY 190 
7   TREATMENT 160 
8   DOSE 150 
9   EFFECTS 142 
10   CANCER  therapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION yes1 no 0 0 1"
doc2 label68,"Primary chemotherapy yes=1, no=0","Primary chemotherapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION yes1 no 0 0 1"
doc2 label69,"Post Surgery Chemotherapy yes=1, no=0","Post surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK Chemotherapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION yes no 0 0 1"
doc2 label70,"Post Surgery Radiotherapy yes=1, no=0","Post surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK Radiotherapy  RADIATION	572	 2		 GENE	515	 3		 HORMONE	508	 4		 THERAPY	485	 5		 GROUP	439	 6		 REPLACEMENT	437	 7		 FAMILY	384	 8		 PATIENTS	359	 9		 DRUG	351	 10		 SESSION yes1 no 0 0 1"
doc2 label71,"Recc#1 0=no, 1= Yes ","Reccurrence RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR 0 no 1 Yes  0 1"
doc2 label72,Date1st Recc,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT Reccurrence RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR "
doc2 label73,"Site Local 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE Local STATE 3831 
2   GOVERNMENTS 2594 
3   GOVERNMENT 2435 
4   OFFICIALS 2317 
5   SCHOOL 2146 
6   NEWS 1964 
7   COMMUNITY 1876 
8   PEOPLE 1711 
9   LEVEL 1580 
10   POLICE 0 no 1 Yes  0 1"
doc2 label74,"Site Regional 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE Regional  CENTER 618 
2   DIRECTOR 558 
3   SECURITY 419 
4   OFFICE 416 
5   DEVELOPMENT 402 
6   COOPERATION 338 
7   POWER 324 
8   STATE 302 
9   COMMISSION 252 
10   CENTERS 0 no 1 Yes  0 1"
doc2 label75,"Site Distant 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE Distant PAST 381 
2   GALAXIES 343 
3   FUTURE 284 
4   SOUND 203 
5   MEMORY 189 
6   COUSIN 185 
7   VOICE 173 
8   MOUNTAINS 172 
9   LIGHT 171 
10   STARS  0 no 1 Yes  0 1"
doc2 label76,"Rx, Sur 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS  DRUGS 2128 
2   DRUG 1478 
3   USE 354 
4   MEDICATIONS 207 
5   COVERAGE 200 
6   DOCTOR 198 
7   BENEFIT 193 
8   MEDICATION 175 
9   ABUSE 158 
10   SENIORS Surgery 0 no 1 Yes  0 1"
doc2 label77,"Rx, Chemotherapy 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS Chemotherapy  RADIATION 355 
2   CANCER 164 
3   SURGERY 134 
4   TREATMENT 120 
5   PATIENTS 99 
6   TREATMENTS 92 
7   DRUGS 79 
8   MONTHS 71 
9   EFFECTS 65 
10   THERAPY 0 no 1 Yes  0 1"
doc2 label78,"Rx, Radiotherapy 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS radiotherapy  PATIENTS	60	 2		 CHEMOTHERAPY	55	 3		 SURGERY	44	 4		 TREATMENT	19	 5		 CANCER	18	 6		 PATIENT	18	 7		 GROUP	17	 8		 TRIAL	13	 9		 COMPLICATIONS	11	 10		 NECK 0 no 1 Yes  0 1"
doc2 label79,"Recc#2 0=no, 1= Yes ","recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR 2 0 no 1 Yes  0 1"
doc2 label80,Date2nd Recc,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT2nd Recc "
doc2 label81,"Site Local 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLELocal 0 no 1 Yes  0 1"
doc2 label82,"Site Regional 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLERegional 0 no 1 Yes  0 1"
doc2 label83,"Site Distant 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLEDistant 0 no 1 Yes  0 1"
doc2 label84,"Rx, Surgery 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK 0 no 1 Yes  0 1"
doc2 label85,"Rx, chemotherapy 0=no, 1= Yes","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS chemotherapy 0 no 1 Yes 0 1"
doc2 label86,"Rx, Radiotherapy 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS radiotherapy  PATIENTS	60	 2		 CHEMOTHERAPY	55	 3		 SURGERY	44	 4		 TREATMENT	19	 5		 CANCER	18	 6		 PATIENT	18	 7		 GROUP	17	 8		 TRIAL	13	 9		 COMPLICATIONS	11	 10		 NECK 0 no 1 Yes  0 1"
doc2 label87,"Recc#3 0=no, 1= Yes  ","recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR 0 no 1 Yes   0 1"
doc2 label88,Date 3rd Recc,"date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT 3rd Recc "
doc2 label89,"Site Local 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLELocal 0 no 1 Yes  0 1"
doc2 label90,"Site Regional 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLERegional 0 no 1 Yes  0 1"
doc2 label91,"Site Distant 0=no, 1= Yes ","site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLEDistant 0 no 1 Yes  0 1"
doc2 label92,"Rx, Surgery 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK 0 no 1 Yes  0 1"
doc2 label93,"Rx,Chemotherapy 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS chemotherapy 0 no 1 Yes  0 1"
doc2 label94,"Rx, Radiotherapy 0=no, 1= Yes ","prescription  DRUGS	2128	 2		 DRUG	1478	 3		 USE	354	 4		 MEDICATIONS	207	 5		 COVERAGE	200	 6		 DOCTOR	198	 7		 BENEFIT	193	 8		 MEDICATION	175	 9		 ABUSE	158	 10		 SENIORS radiotherapy  PATIENTS	60	 2		 CHEMOTHERAPY	55	 3		 SURGERY	44	 4		 TREATMENT	19	 5		 CANCER	18	 6		 PATIENT	18	 7		 GROUP	17	 8		 TRIAL	13	 9		 COMPLICATIONS	11	 10		 NECK 0 no 1 Yes  0 1"
doc2 label95,Patient,"Patient  CARE 1343 
2   DOCTOR 465 
3   FAMILY 433 
4   PATIENT 411 
5   CANCER 408 
6   TREATMENT 339 
7   HOSPITAL 338 
8   INFORMATION 337 
9   TIME 336 
10   HEALTH "
doc3 label96,Age (years),"Age YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117  years  YEARS 7878 
2   COUPLE 6922 
3   TIME 5953 
4   AGE 5259 
5   LIFE 3869 
6   PEOPLE 3237 
7   SCHOOL 3224 
8   EXPERIENCE 2981 
9   PRISON 2914 
10   NUMBER"
doc3 label97,Age class,"Age YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117 
10   MEN class  STUDENTS 2307 
2   SCHOOL 1482 
3   CLASS 1401 
4   TIME 1164 
5   RACE 1015 
6   PEOPLE 827 
7   DAY 787 
8   GENDER 669 
9   ACTION 652 
10   EDUCATION  0 1"
doc3 label98,Sex(1=male;2=female),"Sex  SEX 1438 
2   LIFE 1229 
3   MEN 1117 
4   AGE 1106 
5   WOMEN 914 
6   EDUCATION 909 
7   OFFENDERS 838 
8   VIOLENCE 634 
9   RACE 618 
10   CITY  1 male  FEMALE 2275 
2   STUDENTS 1056 
3   WOMEN 595 
4   ATHLETES 586 
5   VOICE 496 
6   VIDEO 489 
7   CLIP 472 
8   PARTICIPANTS 445 
9   COUNTERPARTS 401 
10   PERCENT 2 female   MALE 3003 
2   STUDENTS 1501 
3   ATHLETES 960 
4   BODY 546 
5   PARTICIPANTS 497 
6   VOICE 487 
7   PERCENT 481 
8   WOMEN 427 
9   STUDENT 351 
10    1 2"
doc3 label99, localization code ," localization code   TAX 1278 
2   ZIP 677 
3   ETHICS 605 
4   DRESS 519 
5   CONDUCT 481 
6   AREA 389 
7   CODE 305 
8   NAME 302 
9   ACCESS 274 
10   SECTION"
doc3 label100, localization class," localization class  STUDENTS 2307 
2   SCHOOL 1482 
3   CLASS 1401 
4   TIME 1164 
5   RACE 1015 
6   PEOPLE 827 
7   DAY 787 
8   GENDER 669 
9   ACTION 652 
10   EDUCATION 1 2 3 4"
doc3 label101, pathological  T, pathological  T 1 2 3 4
doc3 label102,pathological lymph  node stage,"pathological lymph  node NODE 255 
2   METASTASIS 32 
3   DISSECTION 28 
4   METASTASES 22 
5   BIOPSY 17 
6   PATIENTS 13 
7   EVALUATION 11 
8   CASES 10 
9   RADIATION 9 
10   INVOLVEMENT stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 1 2 3 4"
doc3 label103,pathological lymph node status,"pathological lymph node NODE 255 
2   METASTASIS 32 
3   DISSECTION 28 
4   METASTASES 22 
5   BIOPSY 17 
6   PATIENTS 13 
7   EVALUATION 11 
8   CASES 10 
9   RADIATION 9 
10   INVOLVEMENT status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT 0 1"
doc3 label104,pathological stage,"pathological stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 1 2 3 4"
doc3 label105,differentiation,"differentiation  CELL 38 
2   PRODUCT 34 
3   PROCESS 32 
4   GENDER 31 
5   DEGREE 23 
6   CURRICULUM 20 
7   DEVELOPMENT 19 
8   LACK 18 
9   INTEGRATION 17 
10   CELLS 1 2 3 4"
doc3 label106,HPV status,"Human Papillomavirus status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT 1 0"
doc3 label107,post surgical treatment,"post surgical treatment  DRUG	1469	 2		 CANCER	856	 3		 PATIENTS	833	 4		 TREATMENT	792	 5		 GROUP	788	 6		 WATER	783	 7		 PROGRAMS	730	 8		 ABUSE	723	 9		 PROGRAM	664	 10		 PEOPLE RX CT "
doc3 label108,clinical follow up (months),"clinical follow up UP 344 
2   QUESTION 39 
3   POINT 36 
4   LEADS 18 
5   STORY 18 
6   TIME 18 
7   PEOPLE 17 
8   MR 16 
9   STUDY 16 
10   PATIENTS  months  YEARS 2772 
2   YEAR 2680 
3   COUPLE 2526 
4   MONTHS 2008 
5   WEEKS 1924 
6   TIME 1669 
7   SUMMER 827 
8   DAYS 731 
9   WINTER 720 
10   AGE"
doc3 label109,recurrence status (1=M;0=NM),"recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT  1 M 0 NM  1 0"
doc3 label110,distant metastasis-free survival (month),"distant metastasis free survival  RATES 322 
2   RATE 318 
3   CHANCE 264 
4   SKILLS 263 
5   SPECIES 253 
6   CHANCES 219 
7   STRUGGLE 183 
8   MATTER 148 
9   PEOPLE 145 
10   STORY  month   YEARS 2772 
2   YEAR 2680 
3   COUPLE 2526 
4   MONTHS 2008 
5   WEEKS 1924 
6   TIME 1669 
7   SUMMER 827 
8   DAYS 731 
9   WINTER 720 
10   AGE"
doc3 label111,Actual status (1=alive;0=dead),"Actual status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT  1 alive 0 dead 1 0"
doc3 label112,Overall survival(months),"Overall survival  RATES 322 
2   RATE 318 
3   CHANCE 264 
4   SKILLS 263 
5   SPECIES 253 
6   CHANCES 219 
7   STRUGGLE 183 
8   MATTER 148 
9   PEOPLE 145 
10   STORY months  YEARS 2772 
2   YEAR 2680 
3   COUPLE 2526 
4   MONTHS 2008 
5   WEEKS 1924 
6   TIME 1669 
7   SUMMER 827 
8   DAYS 731 
9   WINTER 720 
10   AGE"
doc3 label113,Affymetrix data (1=yes;0=no),"Affymetrix data  ANALYSIS	3880	 2		 COLLECTION	3102	 3		 DATA	2433	 4		 STUDY	1806	 5		 TABLE	1048	 6		 INFORMATION	1016	 7		 RESEARCH	895	 8		 SURVEY	845	 9		 CENSUS	752	 10		 SOURCES 1 yes 0 no 1 0"
doc3 label114,CGH data (1=yes;0=no),"CGH data  ANALYSIS	3880	 2		 COLLECTION	3102	 3		 DATA	2433	 4		 STUDY	1806	 5		 TABLE	1048	 6		 INFORMATION	1016	 7		 RESEARCH	895	 8		 SURVEY	845	 9		 CENSUS	752	 10		 SOURCES 1 yes 0 no 1 0"
