docName,labelText,valuesText,numValues
doc5_Cellfile_identificat,identif recognit design cellfil,,1000
doc5_Tissue_type,case typecast charact typewrit weav paper tissu type eccentr,elect elementari mucosa membran primari quill tumour convent pattern chief neoplasm master formula feather main normal basal coil mucou rule element tumor princip wind,2
doc5_Gender,gender grammat sexual sex,metr chiliad number meter one fluorin concentr farad mib megabyt fahrenheit grand 9 thousand atom molar yard g f thou mebibyt k mb m degre 1000,2
doc5_Age_at_major_operati,oper major geezerhood mental process surgeri atom number procedur roy at year old eld cognit 85 perform long mathemat john function matur get period surgic on senesc militari age histor r time astatin,,1000
doc5_Centre,and kernel heart centr pore nerv soul nub gist concentr middl eye inward sum essenc core nitti midpoint substanc attent marrow meat center of focu pith gritti rivet,oxford univers manchest,2
doc5_Primary_or_recurrenc,oper elect elementari surgeri beaver primari quill chief state master feather main theatr return oregon basal coil recurr theater room element princip or wind,elect elementari chief element basal princip master wind coil feather main primari quill,1
doc5_Anatomic_Region,realm area region part neighborhood anatom,earli liter hy cubic lambert oc l litr decimetr other 50 fifti former decimet op,5
doc5_Site,web land locat situat site websit place internet,lingua deck clapper over butt parans storey trade piriform utter languag blow prat tonsilla palatin tail tush hind nate cryptoprocta front backtalk rear knock level fissur shock ars dump natur back seat keister out bottom tonsil fanni behind caviti supraglotti knife ass ulterior sinu water base faucial rima ori of genu prior anterior buttock down stern speak aback verbal stori rump spit hypopharynx posterior bun bum mouthpiec derrier glossa coldcock cat can fundament verbalis backsid pit end floor lip take tooshi ball mouth hindquart ferox sass later tooth subglottu tongu fossa the oral talk,
doc5_Site_identification,websit land locat web situat site identif recognit design internet place,ane uniti cypher ace i nought one 1 0 zero cipher 2a 2b 2c singl,5
doc5_Clinical_T_stage,point tetraiodothyronin metric tonn clinic microscop stagecoach triiodothyronin thyroxin monophosph ton leg liothyronin phase repres present stage thymin level mt degre deoxythymidin t arrang,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion four ace quaternari i trey tierc quatern triad leash quartet joe,4
doc5_Clinical_N_stage,nitrogen point newton number repres clinic microscop stagecoach northward leg due 7 north normal atom phase present stage level n degre arrang,ane uniti cypher ace i nought one 1 0 zero cipher 2a 2b 2c singl,5
doc5_Nature_of_operation,oper function mental process natur surgeri surgic procedur perform mathemat of militari cognit,,1000
doc5_Previous_site,late land old web previou situat site websit place internet locat former prematur,,1000
doc5_Previous_stage,point old level previou repres late degre present microscop leg phase arrang stagecoach former prematur stage,,1000
doc5_Previous_surgery,oper old room process surgeri previou procedur or late former surgic theater theatr prematur,,1000
doc5_Previous_diagnosisT,diagnosist old previou late former prematur,,1000
doc5_Previous_chemo,old previou late chemo former prematur,,1000
doc5_Previous_disease_not,tone down reserv late feder prematur mark note old music take greenback diseas billet previou notic hand mention promissori letter govern line former bank preemin notat remark short banknot emin of bill annot distinct s banker observ,,1000
doc5_Smoke,heater fume pot sen sess mari gage fastbal jane roll hummer dope weed goddess skunk tobacco bullet locowe of green smoke grass,barricad fume over kickoff hitch go passe plosiv showtim arrest scratch discontinu halt get stop initi break embark blockag bar signal antiqu contain ceas x husband set old back jump ex pass out lead current forth full never closur intercept offset come on about occlus dri turn startl block first origin outset depart point period pop down blockad commenc quit stream start electr termin head conson part catch line hold bulg bug kibosh sound hat stoppag up outmod fashion demod give diaphragm cure stopov check end ne speech take er begin finish smoke stay lay off wife flow layov time protrud,4
doc5_Alcohol,intoxic drink beverag alcohol inebri,clayey number arduou heavi labori gruell expect heavili wakeless operos er leaden ponder sullen gruel no grave ne intemper labor current labour larg nobelium big threaten more hard toilsom punish never overweight great grievou backbreak weigh sonor child 102 with present sound down lower impenetr alchohol profound dens gravid enceint weighti atom lumber fleshi cloggi,3
