docName,labelText
d4_l141_survival_last_follow,all over obscur livelihood alien go follow butter abreast abid ground absolut death with stimul discuss to bush treatment endur inhabit ascrib kick earli do anim get handl watch compli break know fall deaden one strang bread fini d stranger die drop l bad t intervent refer upward conform natur play dead cash pall utter fail close out snuff utterli ned exit nobelium causa net experi movement be diseas perish induc dwell abruptli reason succeed 102 region along becom lawsuit by stage on c last deceas of unnam choke o keep s place w improv nameless susten croak campaign point lastli number pop surviv down astir away suddenli causal select eye unknown support perfectli due live come way suit termin popul final more lowest flat life buy conclud surveil short accompani stick crusad atom postdat hold effort former conclus case utmost f bucket up n incognita upwardli subsist observ aliv and give chip pass it agent an imput cobbler expir have in agenc exist conk pursu shoemak end no make idl beat other stagnant take survey espous discours finish trace farm stop after terra unsung unidentifi numb ghost drain off adopt drive quantiti caus u the travel fittest
d4_l142_vital_dead_other_osc,abruptli all strang dead alien critic anim in suddenli utter absolut unknown perfectli activ bush short live vital stagnant awak sustain earli life full utterli beat unnam terra unsung unidentifi obscur numb deaden alert former a drain d stranger of region oscc o quantiti incognita idl u v nameless other aliv
d4_l143_last_fu_date,lowest engag point lastli up fini see cobbler in go close shoemak out death end stamp live escort endur termin net final surviv finish fu month conclud stop particular date utmost hold day conclus stage appoint on last d f of l s place the steadi
d4_l144_fu_time,metr dimens term fu clip f sentenc clock meter prison t fourth time
d4_l145_ajcc4_1_2_3_4,ane trio one ii littl uniti tercet tetrad deuc foursom three triniti 1 3 2 4 ternari singl trine triplet terzetto quadruplet troika threesom quaternion two iv iii ternion a ajcc4 quaternari four i trey ace tierc quatern triad leash quartet joe
d4_l146_ajcc2_0_1,a ane uniti cypher ace i nought one 1 0 zero cipher ajcc2 singl
d4_l147_OSCC_death_0_1,ane nought one zero destruct demis uniti death end 1 0 singl cipher expiri cypher last d ace deceas i die oscc o
d4_l148_all_death_0_1,ane all nought one zero demis total uniti death end 1 0 singl complet altogeth cipher expiri a cypher last d ace deceas i die destruct entir wholli whole
d4_l149_Main_ID,i independ m chief primari state princip master idaho main id gem brini
d5_l150_Cellfile_ID,c i state cellfil idaho id gem
d5_l151_Tissue_type_primary_,elect elementari mucosa typewrit paper membran element primari quill eccentr tumour typecast convent pattern chief neoplasm master formula feather main type mucou normal basal weav tissu coil case charact m rule n tumor p princip t wind
d5_l152_Gender_m_f,metr chiliad number meter sex fluorin sexual concentr farad mib megabyt fahrenheit grand 9 thousand atom one molar grammat yard g f thou gender k mb m degre mebibyt 1000
d5_l153_Age_at_major_operati,oper major geezerhood mental process surgeri atom number procedur roy at year old eld cognit 85 perform long mathemat john function matur get period surgic a on senesc militari age m histor o r time astatin
d5_l154_Centre_manchester_ox,and heart kernel centr pore nerv soul nub gist concentr manchest eye inward sum univers essenc core nitti midpoint substanc middl attent oxford marrow meat c center of m focu o pith gritti rivet
d5_l155_Primary_ocurrence_pr,elect elementari chief o element basal p princip feather wind master coil ocurr main primari quill
d5_l156_Anatomic_Region_op_o,neighborhood 50 hy fifti realm area litr other anatom earli liter cubic lambert decimetr part former a h region oc l o r decimet op
d5_l157_Site_tonsil_paransal,lingua deck clapper over bum parans storey trade piriform utter languag blow web locat prat tonsilla palatin tail tush hind nate cryptoprocta front backtalk rear knock level h fissur shock p t ars dump natur back seat keister out bottom tonsil fanni behind internet caviti supraglotti knife ass ulterior sinu situat water base faucial rima ori of genu prior s place anterior buttock down stern speak aback verbal websit stori rump spit hypopharynx posterior ferox bun butt mouthpiec f derrier glossa coldcock cat can fundament verbalis site backsid pit end floor lip take tooshi ball mouth hindquart a land sass later m tooth talk tongu fossa the oral subglottu
d5_l158_Side_2a_0_2b_1_2c,slope ane nought one zero uniti 1 0 2 singl 2c cipher cypher meat ace i of inclin face s 2a 2b english posit side
d5_l159_Clinical_T_stage_1_2,ane trio repres point tetraiodothyronin metric tonn ii clinic liothyronin littl microscop stagecoach triiodothyronin uniti present tercet tetrad mt deuc foursom three triniti 1 monophosph 3 2 ton 4 ternari singl quatern triplet terzetto leg tierc quadruplet troika threesom quaternion thyroxin triad phase degre one iii ternion stage four c thymin quaternari level i trine trey ace s deoxythymidin t iv arrang leash quartet two joe
d5_l160_Clinical_N_stage_0_1,ane microscop point newton number one zero nitrogen stagecoach northward leg due 1 0 2 7 singl nought north normal uniti cipher atom phase degre repres present stage c cypher ace level i clinic n s 2a 2b 2c arrang
d5_l161_Nature_of_operation,oper function mental process natur surgeri surgic o n perform mathemat procedur of militari cognit
d5_l162_Previous_site,late land locat web previou situat site websit p s place internet old former prematur
d5_l163_Previous_stage,point old level previou degre repres late p s present microscop leg phase arrang stagecoach former prematur stage
d5_l164_Previous_surgery,oper old room process surgeri previou procedur or late p s former surgic theater theatr prematur
d5_l165_Previous_diagnosis_T,old d mt diagnos tetraiodothyronin metric previou diagnosi thyroxin tonn late p ton t former liothyronin deoxythymidin triiodothyronin monophosph prematur thymin
d5_l166_Previous_chemo,c old previou late p chemo former prematur
d5_l167_Previous_disease_not,old down reserv late feder tone prematur mark note music take greenback distinct diseas billet previou notic hand mention promissori letter govern line former bank preemin notat remark short banknot d emin of bill annot n p s banker observ
d5_l168_Smoke_never_smoked_e,barricad fume over kickoff hitch go passe plosiv current arrest fastbal scratch discontinu halt get dope stop initi break embark blockag bar tobacco signal antiqu contain ceas x husband set old back jump ex pass sen showtim out lead gage forth hummer full never closur intercept offset weed come on goddess occlus of dri turn s startl block first origin heater outset depart point pot period pop down blockad commenc quit sess stream mari start electr jane termin head conson c part catch e line hold bulg bug kibosh sound locowe hat stoppag up outmod n about grass fashion demod give diaphragm cure stopov check end ne speech take layov er roll begin finish smoke stay lay skunk off bullet wife flow green time protrud
d5_l169_Alcohol_no_alchohol_,gravid clayey number arduou heavi labori gruell expect weigh heavili wakeless operos er leaden ponder sullen alcohol gruel no ne intemper labor current labour larg nobelium big threaten drink more sound hard toilsom cloggi punish never overweight lower inebri grievou backbreak great sonor child 102 with grave a down c beverag impenetr alchohol profound dens h enceint weighti n atom lumber present fleshi intoxic
